COMPANY_ID,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64
DEMO-001,0.006259,0.79624,0.15802,1.1985,-256.64,-0.11861,0.020916,0.12158,1.0768,0.096808,0.020916,0.026268,0.027425,0.020916,9888.0,0.036913,1.2559,0.020916,0.019516,59.59,2.6608,0.090027,0.00584,-0.049056,0.096808,0.018506,0.90456,3.4544,4.5837,0.72908,0.019516,292.01,1.2499,0.11307,0.090027,1.0912,,0.096808,0.084003,0.88088,0.26576,0.084003,86.121,26.531,0.035773,0.97871,64.168,0.081551,0.076094,1.1985,0.79624,0.80004,2.1163,2.1163,6059.0,0.071349,0.064655,0.92865,0.0,6.1252,13.758,271.18,1.346,23.429
DEMO-002,0.03994,0.92049,0.067333,1.0738,3.9965,0.19578,0.050728,0.065528,1.0124,0.060318,0.050728,0.05562,0.014827,0.050728,5748.2,0.063498,1.0864,0.050728,0.012868,2.1484,1.3317,0.051021,0.010131,0.24427,0.060318,0.051778,0.13103,3.2648,4.3937,0.19345,0.012868,85.493,4.2694,0.055428,0.051021,3.9534,113.14,0.06877,0.012942,0.17418,0.51518,0.012942,75.969,73.82,1.7212,1.0484,2.1751,0.043299,0.010983,1.064,0.91204,0.23423,2.9247,3.3345,1667.0,0.012277,0.66215,0.98772,0.14011,169.89,4.9444,84.443,4.3224,191.15
DEMO-003,0.1614,0.70808,0.55385,2.3117,266.4,0.0,0.1969,0.41227,0.8698,0.29192,0.1989,0.46634,0.23741,0.1969,1251.6,0.29163,1.4123,0.1969,0.22638,24.594,2.6556,0.19354,0.18556,0.21582,0.27757,0.24149,96.992,23.16,3.5421,0.70786,0.22867,227.89,1.6016,0.95506,0.19354,0.8698,12.439,0.36568,0.22251,0.22331,0.11619,0.22251,370.03,345.44,2.7539,2.1729,31.633,0.18395,0.21149,1.3785,0.42223,0.62437,12.207,15.291,1929.9,0.22251,0.55289,0.77501,0.25266,14.841,1.0566,177.19,2.06,36.371
DEMO-004,0.028147,0.27715,0.34091,2.23,-2.7401,-0.044309,0.034433,2.5317,1.0396,0.70168,0.034433,0.12424,0.094873,0.034433,893.73,0.4084,3.6081,0.034433,0.028861,106.41,1.0752,0.019223,0.023593,-0.03853,0.70168,0.38572,0.1675,0.89256,4.2997,0.20532,0.028861,88.146,4.1408,0.069358,0.019223,1.2768,,0.70168,0.016112,0.1206,0.092998,0.016112,178.86,72.451,0.080926,0.97507,110.62,-0.059533,-0.0499,2.23,0.27715,0.2415,1.8371,1.8371,6796.6,0.038066,0.040114,0.96193,0.0,3.4302,5.0379,84.791,4.3047,3.1237
DEMO-005,0.11406,0.14378,0.29526,3.1356,64.567,0.0,0.14262,5.9548,1.6431,0.85622,0.14262,1.0315,0.090603,0.14262,352.54,1.0353,6.9548,0.14262,0.086798,6.02,0.79963,0.14209,0.069422,0.48621,0.834,0.83678,,0.52123,3.6533,0.019682,0.086798,33.611,10.86,10.442,0.14164,1.6431,73.543,0.86174,0.086202,0.80607,0.03231,0.086477,71.547,65.527,4.2091,2.9396,6.5879,0.13584,0.082673,3.0151,0.13826,0.092084,1.5115,1.5212,1329.0,0.086202,0.13322,0.91325,0.006454,60.631,5.5702,30.713,11.884,2.9005
DEMO-006,-0.25245,0.58239,0.64248,5.2468,-3209.4,0.0,-0.25245,0.71705,0.57919,0.41761,0.096408,-1.6687,-0.17771,-0.25245,-2065.2,-0.17673,1.7171,-0.25245,-0.43587,286.91,0.87962,0.0,-0.43587,-0.11719,0.41175,-0.17673,0.0,3.1154,3.9312,0.92792,-0.85096,428.46,0.85189,0.22129,0.070776,0.57919,1.0565,0.73801,0.1222,0.31835,0.12984,0.0,469.88,182.97,-0.55451,2.2375,1289.4,-0.14952,-0.25816,1.3629,0.15129,1.1739,2.025,3.5786,5484.0,0.77748,-0.60452,1.0068,0.76724,1.2722,1.9948,95.34,3.8284,2.8085
DEMO-007,0.098545,0.35369,-0.005545,0.98432,-34.292,0.26767,0.089392,1.7259,1.0335,0.61044,0.089392,0.25274,0.070094,0.089392,885.5,0.4122,2.8273,0.089392,0.042978,31.003,1.2387,0.10119,0.047379,0.29257,0.61044,0.43808,0.50282,-0.008506,4.5756,0.15456,0.042978,64.149,5.6899,0.2861,0.10119,2.1351,,0.61044,0.048651,0.10273,0.073788,0.048651,54.719,23.716,0.5578,0.48482,32.042,0.044793,0.021536,0.98432,0.35369,0.17575,0.93647,0.93647,-208.69,0.032442,0.16143,0.96756,0.0,11.773,15.391,62.068,5.8807,3.1908
DEMO-008,0.089957,0.58845,0.32651,1.5549,52.758,0.2804,0.1175,0.67222,1.0439,0.39557,0.1175,0.19968,0.070699,0.1175,1536.5,0.23756,1.6994,0.1175,0.059426,0.0,1.1144,0.087327,0.045496,0.37854,0.39557,0.19075,0.46103,3.8394,5.1622,0.068588,0.059426,113.39,3.2189,0.1484,0.087327,2.0294,,0.39557,0.044166,0.85822,0.17649,0.044166,75.674,75.674,,1.5549,0.0,0.065036,0.032892,1.5549,0.58845,0.31066,4.6515,4.6515,47439.0,0.042023,0.22741,0.95798,0.0,,4.8233,108.63,3.3601,23.251
DEMO-009,0.020198,0.7098,0.15769,1.2222,-21.307,0.0,0.03306,0.40885,1.4455,0.2902,0.053939,0.046576,0.045608,0.03306,3929.9,0.092879,1.4088,0.03306,0.022872,59.725,2.2388,0.052864,0.013973,0.052267,0.033129,0.074757,2.532,1.1901,3.9017,0.47283,0.037316,186.6,1.9561,1.9561,0.057036,1.4455,,0.2902,0.039459,0.039098,0.27598,0.036572,212.05,152.32,0.085394,0.88894,62.179,0.019999,0.013836,1.2222,0.7098,0.51123,2.1901,2.1901,1257.5,0.039459,0.069599,0.97717,0.0,6.1113,2.3962,179.23,2.0364,10.909
DEMO-010,0.17995,0.23222,0.74656,4.2148,55.062,0.0,0.22084,3.3062,2.4542,0.76778,0.22097,0.951,0.091546,0.22084,377.28,0.96746,4.3062,0.22084,0.089987,40.22,1.3045,0.17329,0.073325,0.78069,0.7621,0.79137,1411.9,35.19,3.9453,0.034606,0.090037,38.186,9.5584,9.5584,0.23448,2.4542,,0.76778,0.095542,1.2251,0.043706,0.070609,103.26,63.038,0.66543,3.0503,44.469,0.16946,0.06905,4.2148,0.23222,0.10462,36.19,36.19,6581.7,0.095542,0.23438,0.91189,0.0,9.0751,5.7902,34.538,10.568,115.68
