COMPANY_ID,RISK_RANK,RISK_SCORE,CALIBRATED_PROBABILITY,ANALYST_REVIEW
ESIK-05585,1,0.9988789,0.9919508956194376,1
ESIK-05594,2,0.9988707,0.9919042381342276,1
ESIK-05817,3,0.99843234,0.989542209635188,1
ESIK-05810,4,0.99806684,0.9876866636975072,1
ESIK-05546,5,0.9980609,0.9876573230078176,1
ESIK-05740,6,0.9976369,0.9856044480178844,1
ESIK-05709,7,0.9969041,0.982245386338876,1
ESIK-05567,8,0.99562305,0.976790107464342,1
ESIK-05673,9,0.9955375,0.9764406725105949,1
ESIK-05691,10,0.99487644,0.973792968453774,1
ESIK-05495,11,0.99472344,0.9731920766162804,1
ESIK-05758,12,0.9944406,0.9720934006208116,1
ESIK-05797,13,0.9944114,0.9719804251720572,1
ESIK-05470,14,0.9943403,0.9717067241280544,1
ESIK-05839,15,0.9937767,0.969565827696893,1
ESIK-05733,16,0.99239385,0.9645074991232888,1
ESIK-05765,17,0.99175745,0.9622598100190716,1
ESIK-02536,18,0.988846,0.9524934140443804,1
ESIK-05556,19,0.9884643,0.9512664199727944,1
ESIK-05686,20,0.98812217,0.950176393410838,1
ESIK-05756,21,0.98765,0.9486855092773232,1
ESIK-05792,22,0.9851901,0.941155649848736,1
ESIK-05649,23,0.98275536,0.9340414420744012,1
ESIK-05492,24,0.98228204,0.9326926810062444,1
ESIK-05667,25,0.97952795,0.925041481128228,1
ESIK-05496,26,0.9795085,0.9249885429905076,1
ESIK-05543,27,0.9792594,0.9243120212349236,1
ESIK-05730,28,0.97918427,0.924108669571178,1
ESIK-05722,29,0.9785488,0.9223957962280824,1
ESIK-05721,30,0.97786283,0.9205635504280562,1
ESIK-05577,31,0.9777999,0.9203962725193088,1
ESIK-01294,32,0.9706197,0.9021577426221752,1
ESIK-05702,33,0.9626187,0.8834376590243403,1
ESIK-05754,34,0.960893,0.8795809819725292,1
ESIK-05714,35,0.9578958,0.8730168277256855,1
ESIK-05786,36,0.9511538,0.8588127069109147,1
ESIK-05651,37,0.9509156,0.8583237661812793,1
ESIK-05674,38,0.9494329,0.8553001315756423,1
ESIK-05766,39,0.93473375,0.8268855679090102,1
ESIK-05647,40,0.9321048,0.8220682123942858,1
ESIK-02513,41,0.92371637,0.8071565399375532,1
ESIK-03127,42,0.9101442,0.7843395433138999,1
ESIK-05773,43,0.8895321,0.7522408576769043,1
ESIK-01653,44,0.8873366,0.7489780039138645,1
ESIK-05540,45,0.881872,0.7409738390175801,1
ESIK-05842,46,0.8788725,0.7366489540547101,1
ESIK-05824,47,0.86392695,0.7157692802704136,1
ESIK-05671,48,0.8638771,0.7157014684916959,1
ESIK-00182,49,0.8546524,0.7033271310442575,1
ESIK-05746,50,0.8439078,0.6893570835555993,1
ESIK-05316,51,0.8376708,0.6814508296248398,1
ESIK-04333,52,0.81333625,0.6518840700299428,1
ESIK-03928,53,0.8072525,0.6447830005519559,1
ESIK-04872,54,0.7860394,0.6208289398115524,1
ESIK-05147,55,0.7748217,0.6086272893251155,1
ESIK-05579,56,0.768892,0.6022972989624893,1
ESIK-05488,57,0.76348287,0.5965921255537161,1
ESIK-05467,58,0.76256424,0.5956296126738388,1
ESIK-04197,59,0.7023801,0.5361408041056085,1
ESIK-02300,60,0.6904284,0.5250609836470317,1
ESIK-05648,61,0.6670499,0.5039828064846258,1
ESIK-01125,62,0.6446281,0.4844404179910945,1
ESIK-02078,63,0.6425788,0.4826847421380067,1
ESIK-05514,64,0.63574857,0.4768680423914985,1
ESIK-05454,65,0.6295186,0.4716085386967861,1
ESIK-05820,66,0.6243086,0.4672427765764451,1
ESIK-05458,67,0.59385926,0.4422860470971432,1
ESIK-05464,68,0.58076227,0.4318239573112946,1
ESIK-05783,69,0.5677418,0.4215718980647216,1
ESIK-02660,70,0.5614001,0.4166297937012688,1
ESIK-02980,71,0.54674304,0.4053291268434755,1
ESIK-00424,72,0.5399301,0.40013181289569,1
ESIK-05541,73,0.5308211,0.3932353221332021,1
ESIK-05477,74,0.53061336,0.3930787063911538,1
ESIK-05809,75,0.489747,0.3628196541499897,1
ESIK-05735,76,0.4875457,0.3612185258365194,1
ESIK-02183,77,0.48680896,0.3606832337453106,1
ESIK-03983,78,0.47606012,0.3529079407440347,1
ESIK-04066,79,0.47118196,0.3493996980766706,1
ESIK-00239,80,0.46663833,0.3461431086531408,1
ESIK-00674,81,0.45888877,0.3406125657318876,1
ESIK-03277,82,0.45141962,0.3353096481208485,1
ESIK-05542,83,0.4434447,0.3296761410006948,1
ESIK-00053,84,0.43229005,0.3218433672062562,1
ESIK-03369,85,0.43037775,0.3205058238791533,1
ESIK-05799,86,0.41674042,0.3110095399300895,1
ESIK-01050,87,0.40889287,0.3055768224213229,1
ESIK-00760,88,0.40361026,0.3019321338789093,1
ESIK-05621,89,0.40274903,0.3013388380602432,1
ESIK-03623,90,0.39535645,0.2962563378302429,1
ESIK-05487,91,0.38053823,0.2861202358013007,1
ESIK-02800,92,0.3780418,0.284418959284038,1
ESIK-05596,93,0.34815252,0.2641721227941165,1
ESIK-03080,94,0.34323335,0.2608588884669806,1
ESIK-05640,95,0.3332489,0.2541476171678908,1
ESIK-04136,96,0.32335672,0.2475142541561826,1
ESIK-01377,97,0.31702933,0.2432783971943632,1
ESIK-04717,98,0.3053732,0.235487031690356,1
ESIK-01891,99,0.30499795,0.2352364422299668,1
ESIK-03525,100,0.30498648,0.2352287722292995,1
ESIK-00818,101,0.30227625,0.233419074223608,1
ESIK-03549,102,0.30158532,0.2329578212270868,1
ESIK-05572,103,0.28931883,0.2247737518096937,1
ESIK-03676,104,0.28423244,0.221382169117224,1
ESIK-03359,105,0.27910283,0.2179623792519688,1
