trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,num_leaves,min_child_samples,reg_lambda,min_split_gain,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7422697927285083,200,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7422697927285083,0.517094017094017,7.422697927285083,0.7208168728203798,0.9347127552474274,0.01603323239878223,10.420802100095898
1,COMPLETE,0.766762940310341,600,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.766762940310341,0.5341880341880342,7.667629403103408,0.7451598861722101,0.9409077326347131,0.025227339701879542,21.829754799837247
2,COMPLETE,0.7300656926039188,200,0.18684642964427906,0.94241611626007,0.9161338162841053,5.0,0.7281532714852366,8,29,1.0,0.1,0.7300656926039188,0.5085470085470085,7.3006569260391885,0.7122931202026676,0.9344341528691867,0.003876883924067258,2.204332199995406
3,COMPLETE,0.7208347491222109,600,0.01078822776280014,0.7358452856357832,0.6151473398815718,0.1,0.7229827802233622,75,17,0.0,1.0,0.7208347491222109,0.5021367521367521,7.208347491222109,0.6762071272624834,0.9278454513023431,0.009332443850330318,10.492128300014883
4,COMPLETE,0.6870823422811191,1600,0.09374793069082592,0.8858070046843645,0.7811726963589366,0.01,0.8101273056638414,60,23,20.0,5.0,0.6870823422811191,0.47863247863247865,6.870823422811189,0.6253828583094551,0.9185188786017019,0.02032074826721721,5.847702400060371
5,COMPLETE,0.7177200135915732,1300,0.050259679163911546,0.7989885425255989,0.8807000958988536,0.0,1.435589999150226,43,15,0.1,0.5,0.7177200135915732,0.5,7.177200135915733,0.6874338046869647,0.9269961195780788,0.019928072123298095,7.744852900039405
6,COMPLETE,0.7330671650243515,1100,0.05049236261808277,0.9530540014788363,0.9882886912819216,0.0,1.0464711323301825,82,25,0.0,0.1,0.7330671650243515,0.5106837606837606,7.3306716502435165,0.7055566310990607,0.9320702084898561,0.020652783552513872,11.307683100108989
7,COMPLETE,0.7454128440366973,1200,0.03481329732328904,0.6976509151854888,0.9104384727777013,1.0,0.5104099911590909,33,24,1.0,0.5,0.7454128440366973,0.5192307692307693,7.454128440366972,0.7024736082652009,0.9284578652610254,0.0032436090880116927,8.024339299998246
8,COMPLETE,0.7085457016649678,700,0.011341581688552682,0.7037451807616502,0.743038543547475,0.1,0.8970913433176853,10,8,10.0,0.01,0.7085457016649678,0.4935897435897436,7.085457016649677,0.6648479608005751,0.9274085985325055,0.012471356267494889,11.781954500009306
9,COMPLETE,0.708574017442519,400,0.051630550211417006,0.7083873940382857,0.6382150750839376,10.0,0.8264473861820842,21,50,0.01,0.0,0.708574017442519,0.4935897435897436,7.085740174425189,0.6691468850491021,0.9261615099609867,0.01175210521341729,3.8567183000268415
10,COMPLETE,0.7515856835428701,700,0.03733465397744903,0.8293223211181968,0.9899784702893408,0.0,0.9786208228136716,17,5,0.0,0.1,0.7515856835428701,0.5235042735042734,7.515856835428701,0.7137445791496061,0.9301140693029097,0.014123471588365752,12.820725599885918
11,COMPLETE,0.7238362215426436,300,0.04163636626291709,0.8950140653820683,0.9676320456322798,0.0,1.042241795719427,11,5,0.0,1.0,0.7238362215426436,0.5042735042735043,7.238362215426435,0.7067620757783297,0.9250779380658308,0.023626050865201663,13.1198242000537
12,COMPLETE,0.7637897836674595,1100,0.1234744203480237,0.8890473438992159,0.9871478123535309,0.0,1.6813526350062993,12,21,0.0,0.0,0.7637897836674595,0.532051282051282,7.637897836674594,0.7370039626022806,0.9345145224944154,0.026412777593575274,20.195375500130467
13,COMPLETE,0.7698776758409785,1500,0.16855313964586743,0.9084001411068248,0.9247358065630602,0.0,1.2537210129945413,30,24,0.0,0.0,0.7698776758409785,0.5363247863247863,7.698776758409786,0.7325090892984548,0.937453605700577,0.02054285755740734,13.993275900022127
14,COMPLETE,0.7514441046551138,200,0.036097788064131435,0.9766560078367772,0.9506146622097817,0.0,1.1350943803340545,28,6,1.0,0.0,0.7514441046551138,0.5235042735042734,7.514441046551138,0.7229193304307172,0.9357708663388798,0.02099969538704422,7.378665100084618
15,COMPLETE,0.6870823422811191,900,0.11872889269791194,0.9614217621929285,0.9217450422836911,0.0,0.9517956598543912,24,39,0.0,5.0,0.6870823422811191,0.47863247863247865,6.870823422811189,0.6399919776201437,0.9161612228766242,0.008732743717354038,3.488552000024356
16,COMPLETE,0.7729924113716162,1000,0.05350330961199124,0.8957481188820023,0.9421401031438584,0.0,0.9475736984015635,17,12,0.0,0.0,0.7729924113716162,0.5384615384615384,7.729924113716163,0.7348827047693343,0.9368269144131607,0.026407950566666942,20.925830400083214
17,COMPLETE,0.7392683203080757,900,0.02771867986905714,0.9098794247826437,0.9461844547473856,0.0,1.0146724914549508,8,10,0.0,0.0,0.7392683203080757,0.5149572649572649,7.3926832030807565,0.7098677778948551,0.9258229704693415,0.0038874169898585093,11.076918700011447
18,COMPLETE,0.7545022086306491,500,0.11382649878312523,0.9685229820402023,0.8607514388518606,0.0,1.306122188082344,27,17,0.0,0.01,0.7545022086306491,0.5256410256410255,7.545022086306489,0.7233728034731732,0.9332559531852967,0.024023129704832644,5.9298351999605075
19,COMPLETE,0.7392400045305244,1500,0.17945154681089104,0.8240747696427335,0.9610845524565637,0.0,1.0406812556607459,40,17,20.0,0.0,0.7392400045305244,0.5149572649572649,7.392400045305244,0.6941037318611012,0.9260857082589716,0.01595447705679133,33.16570890008006
20,COMPLETE,0.7545022086306491,1600,0.16269157912972904,0.9270361664095512,0.8805181168485694,0.0,1.5531412812767822,25,26,1.0,0.0,0.7545022086306491,0.5256410256410257,7.5450220863064885,0.7192915355581414,0.9353877618594093,0.03766683891809577,28.539076299988665
21,COMPLETE,0.7637048363348059,900,0.1225458557569306,0.810742170262669,0.8826910657974387,0.0,0.7985398708934597,31,14,0.0,0.0,0.7637048363348059,0.532051282051282,7.6370483633480575,0.7115527001962443,0.9365280219183211,0.02398508491860583,11.4244077000767
22,COMPLETE,0.7789953562124815,1200,0.127207404226474,0.9696249837468673,0.9555670778569696,0.0,1.4636467363520196,41,26,0.0,0.0,0.7789953562124815,0.5427350427350427,7.789953562124815,0.7370433098376479,0.9427262513733009,0.033805504668091575,14.24659349990543
23,COMPLETE,0.7606467323592706,1200,0.12252016323879601,0.9072748490085785,0.9534982217352124,0.0,1.08172403471793,21,27,0.01,0.0,0.7606467323592706,0.5299145299145299,7.606467323592706,0.7307454878954062,0.936500877141572,0.027856882930015484,26.489603299996816
24,COMPLETE,0.7912560878921736,1300,0.08313748559773676,0.9754667429457426,0.9459873684594474,0.0,1.4269299830560058,44,18,0.0,0.0,0.7912560878921736,0.5512820512820512,7.9125608789217345,0.746705304456956,0.9439073285427902,0.03649674161436869,26.170875499839894
25,COMPLETE,0.7698776758409785,1200,0.1541335228174877,0.9072522695374952,0.9094399742881787,0.0,1.1024955374920051,82,13,0.0,0.0,0.7698776758409785,0.5363247863247863,7.698776758409785,0.7146258874688165,0.9368495924418966,0.015927115180427893,21.031886599957943
26,COMPLETE,0.7698493600634273,1400,0.17365687113545442,0.9974747307507014,0.9307603812353182,0.0,0.8864494854494666,56,15,0.0,0.0,0.7698493600634273,0.5363247863247863,7.698493600634273,0.7372903574875328,0.9438982994491018,0.020920895280181467,23.24117480008863
27,COMPLETE,0.77285083248386,1600,0.10844449910324812,0.9858944055232786,0.9944840481220726,0.0,1.5707903784462125,61,30,0.0,0.0,0.77285083248386,0.5384615384615384,7.728508324838599,0.7320325874670984,0.941399883739846,0.03880819612809675,764.5676455998328
28,COMPLETE,0.7330671650243517,600,0.033407159981926456,0.8777742267770218,0.8779916504740639,0.0,0.9010652967280864,12,18,0.0,0.0,0.7330671650243517,0.5106837606837606,7.330671650243516,0.71726279601005,0.9280744739885686,0.016068648661716273,17.94131210015621
29,COMPLETE,0.7300090610488162,1400,0.11051888192923036,0.9853241780253402,0.8529789526351987,0.0,1.741657397739462,37,15,0.0,0.01,0.7300090610488162,0.5085470085470085,7.300090610488163,0.7142436880742906,0.9340559398639097,0.028855791870563773,11.438926100032404
30,COMPLETE,0.7728791482614112,700,0.1621693413376161,0.9560753641945912,0.9646368827790625,0.0,1.142901139356975,20,15,0.0,0.0,0.7728791482614112,0.5384615384615384,7.728791482614112,0.7464048355836305,0.9407077840427677,0.02951120816399807,13.481680100085214
31,COMPLETE,0.7697927285083249,800,0.15645460824760668,0.9970407192879377,0.9509146344660258,0.0,1.2205978705444316,43,15,0.0,0.0,0.7697927285083249,0.5363247863247863,7.6979272850832485,0.7368645216840862,0.942281723238795,0.035464468600953966,18.052198800141923
32,COMPLETE,0.7729074640389625,600,0.06737454428085306,0.9715444162686631,0.9369031298495915,0.0,1.0081406311812953,55,13,0.0,0.0,0.7729074640389625,0.5384615384615384,7.729074640389624,0.7333377051950379,0.9399011283217912,0.027235951279083303,23.812873099930584
33,COMPLETE,0.7759655680144976,1000,0.09157674714034518,0.9584894795275526,0.9114616008490141,0.0,1.7025610701727054,44,9,0.0,0.0,0.7759655680144976,0.5405982905982906,7.759655680144977,0.7389736526010009,0.9408875454673743,0.0251877396389748,21.033082699868828
34,COMPLETE,0.7698493600634273,1400,0.16606906437694324,0.950361485784531,0.9431609123490328,0.0,1.8301636751183419,22,19,0.0,0.0,0.7698493600634273,0.5363247863247863,7.698493600634273,0.7416384901898572,0.9344005367099671,0.023450114251886416,17.12599149986636
35,COMPLETE,0.7881696681390871,1100,0.09899442698301154,0.9976702267428068,0.9413606834394261,0.0,1.2531481778132503,93,19,0.0,0.0,0.7881696681390871,0.5491452991452991,7.881696681390871,0.7374743173210844,0.9420578001563,0.04077851459794572,25.571477100020275
36,COMPLETE,0.772964095594065,1200,0.11932110256743762,0.970252092968568,0.9756676442100343,0.0,1.2973118670626058,35,8,0.0,0.0,0.772964095594065,0.5384615384615384,7.72964095594065,0.7519355064165092,0.9426848301548482,0.017842625022297633,78.58236199989915
37,COMPLETE,0.7636765205572545,1000,0.11462691120072682,0.9172106450043265,0.9660067792429936,0.0,1.6165657914115006,29,54,0.0,0.0,0.7636765205572545,0.532051282051282,7.636765205572544,0.7275827426258878,0.9367993375586329,0.02955092934431516,27.25043969997205
38,COMPLETE,0.7698210442858762,1200,0.10231958478824042,0.9217783356891325,0.9232179983933769,0.0,1.3080928405833163,52,34,0.0,0.0,0.7698210442858762,0.5363247863247863,7.698210442858762,0.7179884748977717,0.9361141827703056,0.02711016484671496,26.51102789992001
39,COMPLETE,0.7759372522369464,1200,0.0629456663669785,0.9699882163328374,0.9549756656737632,0.0,1.4230985031468324,63,46,0.0,0.0,0.7759372522369464,0.5405982905982906,7.759372522369464,0.7330451300882883,0.9412947530164519,0.031434976964063846,37.15358419995755
