trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,COMPLETE,0,0.7592592592592593,0.5256410256410257,7.592592592592593,82,156,108,0.6992693984062389,0.9174829099071523,0.6983121391676769,0.9532051282051283,0.6804123711340206,0.6111111111111112,0.6439024390243903,"[[1421, 31], [42, 66]]",5.34166739997454,3120,1560,218,13.311926605504587
0,COMPLETE,1,0.7798165137614679,0.5448717948717948,7.798165137614678,85,156,109,0.7283392155199342,0.9507394457476338,0.7273470603159535,0.9551282051282052,0.7532467532467533,0.5321100917431193,0.6236559139784946,"[[1432, 19], [51, 58]]",4.298080599983223,3120,1560,217,13.377880184331797
0,COMPLETE,2,0.7798165137614679,0.5448717948717948,7.798165137614678,85,156,109,0.7460984877724067,0.9364310598827762,0.7452881550753302,0.9583333333333334,0.7244897959183674,0.6513761467889908,0.6859903381642513,"[[1424, 27], [38, 71]]",4.614668900030665,3120,1560,217,13.377880184331797
1,COMPLETE,0,0.7407407407407407,0.5128205128205128,7.4074074074074066,80,156,108,0.701920328367684,0.9179739312315071,0.7009677030927537,0.9532051282051283,0.6804123711340206,0.6111111111111112,0.6439024390243903,"[[1421, 31], [42, 66]]",5.100160799920559,3120,1560,218,13.311926605504587
1,COMPLETE,1,0.7706422018348624,0.5384615384615384,7.706422018348623,84,156,109,0.7313506906918639,0.9516941811721116,0.7303609564306704,0.9557692307692308,0.7631578947368421,0.5321100917431193,0.6270270270270271,"[[1433, 18], [51, 58]]",5.978606799966656,3120,1560,217,13.377880184331797
1,COMPLETE,2,0.7981651376146789,0.5576923076923077,7.981651376146789,87,156,109,0.7484440649039462,0.9382773032201772,0.7476109615591878,0.9602564102564103,0.7473684210526316,0.6513761467889908,0.696078431372549,"[[1427, 24], [38, 71]]",5.452993900049478,3120,1560,217,13.377880184331797
2,COMPLETE,0,0.7222222222222222,0.5,7.222222222222221,78,156,108,0.6931951256415039,0.9191409039893887,0.6921856462062825,0.9467948717948718,0.6126126126126126,0.6296296296296297,0.6210045662100456,"[[1409, 43], [40, 68]]",1.526708499994129,3120,1560,218,13.311926605504587
2,COMPLETE,1,0.7431192660550459,0.5192307692307693,7.431192660550459,81,156,109,0.6815789136339886,0.9416599750883604,0.6802879880329348,0.9525641025641025,0.6804123711340206,0.6055045871559633,0.6407766990291263,"[[1420, 31], [43, 66]]",1.5095657999627292,3120,1560,217,13.377880184331797
2,COMPLETE,2,0.7339449541284404,0.5128205128205128,7.339449541284403,80,156,109,0.7136375751345376,0.9262956897805373,0.7128061308116932,0.9525641025641025,0.6548672566371682,0.6788990825688074,0.6666666666666666,"[[1412, 39], [35, 74]]",1.5667378000216559,3120,1560,217,13.377880184331797
3,COMPLETE,0,0.7314814814814815,0.5064102564102564,7.314814814814814,79,156,108,0.6969031556648001,0.9195617794102643,0.695976330036101,0.9397435897435897,0.5514705882352942,0.6944444444444444,0.6147540983606558,"[[1391, 61], [33, 75]]",6.329037499963306,3120,1560,218,13.311926605504587
3,COMPLETE,1,0.7522935779816514,0.5256410256410257,7.522935779816514,82,156,109,0.7127765915267888,0.947691879690691,0.7117809102188924,0.948076923076923,0.6147540983606558,0.6880733944954128,0.6493506493506493,"[[1404, 47], [34, 75]]",6.623917899909429,3120,1560,217,13.377880184331797
3,COMPLETE,2,0.7431192660550459,0.5192307692307693,7.431192660550459,81,156,109,0.7250016383532593,0.9364057688781543,0.7242061191050906,0.9448717948717948,0.5851851851851851,0.7247706422018348,0.6475409836065574,"[[1395, 56], [30, 79]]",6.751926800003275,3120,1560,217,13.377880184331797
4,COMPLETE,0,0.7129629629629629,0.4935897435897436,7.12962962962963,77,156,108,0.6487562145280378,0.9110677481889603,0.6473569860826585,0.9442307692307692,0.5853658536585366,0.6666666666666666,0.6233766233766234,"[[1401, 51], [36, 72]]",4.22603220003657,3120,1560,218,13.311926605504587
