outer_fold,model,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
0,xgboost,0.7846153846153846,0.5425531914893617,7.812765957446808,51,94,65,0.7337192911449492,0.91387441490771,0.7326129633609528,0.9497863247863247,0.6451612903225806,0.6153846153846154,0.6299212598425197,"[[849, 22], [25, 40]]",2.0886862999759614,3744,936,261,13.344827586206897
0,lightgbm,0.7230769230769231,0.5,7.199999999999999,47,94,65,0.7292204185902088,0.9137684359268746,0.7279900601833473,0.9626068376068376,0.8260869565217391,0.5846153846153846,0.6846846846846847,"[[863, 8], [27, 38]]",4.126712500001304,3744,936,261,13.344827586206897
0,selected_procedure,0.7230769230769231,0.5,7.199999999999999,47,94,65,0.7292204185902088,0.9137684359268746,0.7279900601833473,0.9626068376068376,0.8260869565217391,0.5846153846153846,0.6846846846846847,"[[863, 8], [27, 38]]",4.126712500001304,3744,936,261,13.344827586206897
0,fixed_xgboost,0.7538461538461538,0.5212765957446809,7.506382978723404,49,94,65,0.7354099134006551,0.9149342047160648,0.7342518552088672,0.9551282051282052,0.7017543859649122,0.6153846153846154,0.6557377049180327,"[[854, 17], [25, 40]]",2.365294700022787,3744,936,261,13.344827586206897
0,fixed_gradient_boosting,0.7076923076923077,0.48936170212765956,7.046808510638297,46,94,65,0.6565361737042748,0.916258941976508,0.6546840630677873,0.9508547008547008,0.8064516129032258,0.38461538461538464,0.5208333333333334,"[[865, 6], [40, 25]]",27.260810100007802,3744,936,261,13.344827586206897
1,xgboost,0.8153846153846154,0.5638297872340425,8.119148936170212,53,94,65,0.7153316341202705,0.9305837675527686,0.7135904366396282,0.9540598290598291,0.7037037037037037,0.5846153846153846,0.6386554621848739,"[[855, 16], [27, 38]]",5.341392500093207,3744,936,261,13.344827586206897
1,lightgbm,0.8,0.5531914893617021,7.965957446808511,52,94,65,0.6998820736408375,0.9315022520533428,0.6970087655855846,0.9519230769230769,0.6851851851851852,0.5692307692307692,0.6218487394957983,"[[854, 17], [28, 37]]",4.307595200021751,3744,936,261,13.344827586206897
1,selected_procedure,0.8,0.5531914893617021,7.965957446808511,52,94,65,0.6998820736408375,0.9315022520533428,0.6970087655855846,0.9519230769230769,0.6851851851851852,0.5692307692307692,0.6218487394957983,"[[854, 17], [28, 37]]",4.307595200021751,3744,936,261,13.344827586206897
1,fixed_xgboost,0.7846153846153846,0.5425531914893617,7.812765957446808,51,94,65,0.726590426666996,0.9295239777444141,0.7251298155830493,0.9529914529914529,0.6567164179104478,0.676923076923077,0.6666666666666666,"[[848, 23], [21, 44]]",2.3431884000310674,3744,936,261,13.344827586206897
1,fixed_gradient_boosting,0.7384615384615385,0.5106382978723404,7.353191489361701,48,94,65,0.6414179552752279,0.9204627748829814,0.6322029076852744,0.9529914529914529,0.7441860465116279,0.49230769230769234,0.5925925925925926,"[[860, 11], [33, 32]]",25.76772139989771,3744,936,261,13.344827586206897
2,xgboost,0.7692307692307693,0.5319148936170213,7.659574468085106,50,94,65,0.7443571370560497,0.9510200476905414,0.7430036633584824,0.9583333333333334,0.7954545454545454,0.5384615384615384,0.6422018348623854,"[[862, 9], [30, 35]]",12.485903499997221,3744,936,261,13.344827586206897
2,selected_procedure,0.7692307692307693,0.5319148936170213,7.659574468085106,50,94,65,0.7443571370560497,0.9510200476905414,0.7430036633584824,0.9583333333333334,0.7954545454545454,0.5384615384615384,0.6422018348623854,"[[862, 9], [30, 35]]",12.485903499997221,3744,936,261,13.344827586206897
2,lightgbm,0.7538461538461538,0.5212765957446809,7.506382978723404,49,94,65,0.763498234717946,0.9492713945067561,0.762338326960884,0.9626068376068376,0.8947368421052632,0.5230769230769231,0.6601941747572816,"[[867, 4], [31, 34]]",7.234762900043279,3744,936,261,13.344827586206897
2,fixed_xgboost,0.7538461538461538,0.5212765957446809,7.506382978723404,49,94,65,0.7449633838395695,0.9479643204097854,0.7435749588685464,0.9604700854700855,0.78,0.6,0.6782608695652174,"[[860, 11], [26, 39]]",4.279416900011711,3744,936,261,13.344827586206897
2,fixed_gradient_boosting,0.7538461538461538,0.5212765957446809,7.506382978723404,49,94,65,0.6881440421828262,0.932791662986841,0.6855668223779768,0.9551282051282052,0.8709677419354839,0.4153846153846154,0.5625,"[[867, 4], [38, 27]]",52.43166480003856,3744,936,261,13.344827586206897
3,xgboost,0.8307692307692308,0.574468085106383,8.272340425531915,54,94,65,0.7762983048917315,0.9455268038505696,0.7751018412061361,0.9583333333333334,0.7166666666666667,0.6615384615384615,0.688,"[[854, 17], [22, 43]]",2.7660452999407426,3744,936,261,13.344827586206897
3,lightgbm,0.8307692307692308,0.574468085106383,8.272340425531915,54,94,65,0.7740362116849808,0.9489534575642499,0.7722855772383954,0.9658119658119658,0.851063829787234,0.6153846153846154,0.7142857142857143,"[[864, 7], [25, 40]]",2.2961622000439093,3744,936,261,13.344827586206897
3,selected_procedure,0.8307692307692308,0.574468085106383,8.272340425531915,54,94,65,0.7740362116849808,0.9489534575642499,0.7722855772383954,0.9658119658119658,0.851063829787234,0.6153846153846154,0.7142857142857143,"[[864, 7], [25, 40]]",2.2961622000439093,3744,936,261,13.344827586206897
3,fixed_xgboost,0.8,0.5531914893617021,7.965957446808511,52,94,65,0.7666562947676178,0.952168153316259,0.7652083976595376,0.9561965811965812,0.7,0.6461538461538462,0.672,"[[853, 18], [23, 42]]",2.1893399000400677,3744,936,261,13.344827586206897
3,fixed_gradient_boosting,0.8,0.5531914893617021,7.965957446808511,52,94,65,0.7724656383855112,0.9475050781594982,0.7712843640008403,0.9626068376068376,0.8571428571428571,0.5538461538461539,0.6728971962616822,"[[865, 6], [29, 36]]",22.995323900016956,3744,936,261,13.344827586206897
