trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,num_leaves,min_child_samples,reg_lambda,min_split_gain,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7509578544061303,200,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.7077650332489188,0.9282178462878811,0.023618444455819853,9.175483099999838
1,COMPLETE,0.7547892720306514,600,0.05,1.0,1.0,0.0,1.0,31,20,0.0,0.0,0.7547892720306514,0.5253333333333333,7.535816091954023,0.7318905424600959,0.9350589563099586,0.014335852056605121,22.202091399929486
2,COMPLETE,0.7164750957854406,1500,0.013668898428212346,0.9628037334065362,0.7225595594425406,0.1,1.4281871592877957,128,43,0.1,0.1,0.7164750957854406,0.49866666666666665,7.153287356321839,0.6962929670644309,0.9323330726253296,0.046295195301128654,24.555704499827698
3,COMPLETE,0.7241379310344828,200,0.18326056000239593,0.9266310295089641,0.8285462919193586,5.0,1.2684035038424142,8,10,10.0,0.0,0.7241379310344828,0.504,7.229793103448276,0.6986430367392095,0.9280693417287912,0.018770036343166093,3.7862701000412926
4,COMPLETE,0.6934865900383141,300,0.0790676680989037,0.8008474198216666,0.629804432298203,5.0,0.6939069235219701,34,8,0.01,0.1,0.6934865900383141,0.48266666666666663,6.923770114942528,0.6703627350263345,0.9266502981641537,0.021673771070852058,2.9148869999917224
5,COMPLETE,0.7088122605363983,900,0.015151016213775518,0.6342915001130726,0.7606448361250544,0.0,1.698979094682158,107,7,10.0,0.01,0.7088122605363983,0.49333333333333335,7.076781609195403,0.6515947600226042,0.9232709944195286,0.03016861254410657,23.272056699963287
6,COMPLETE,0.6245210727969349,100,0.02324199685606746,0.9311814471735085,0.6036145603276989,10.0,0.5898028160709313,14,17,0.01,1.0,0.6245210727969349,0.4346666666666667,6.235218390804597,0.5523783390334002,0.8991159028582177,0.005418442767713001,1.6878701999085024
7,COMPLETE,0.7126436781609197,400,0.10291164382668495,0.9371850544465979,0.6886781648348815,1.0,0.6232229374493701,26,78,1.0,0.1,0.7126436781609197,0.496,7.11503448275862,0.6983830774539254,0.9277558321040456,0.016255328303139003,3.184055200079456
8,COMPLETE,0.6781609195402298,900,0.06509441990901582,0.6035160924930203,0.7106359302333836,10.0,0.7199505355695064,86,8,5.0,0.0,0.6781609195402298,0.472,6.770758620689655,0.6168123190482354,0.9198025879394497,0.018770036343166138,8.154069099924527
9,COMPLETE,0.7279693486590038,1400,0.0620753444684097,0.8202385331514788,0.6120496017197097,0.01,1.4494489159235455,16,13,0.0,1.0,0.7279693486590038,0.5066666666666667,7.268045977011494,0.6810375603276323,0.9228089802356932,0.023618444455819804,11.153505399939604
10,COMPLETE,0.7471264367816092,800,0.021704533650724278,0.9335729668849214,0.8643362630944789,0.01,0.9864668607610083,17,29,0.0,0.0,0.7471264367816092,0.52,7.459310344827586,0.7215183726975205,0.9334815078822919,0.018770036343166093,22.869467499898747
11,COMPLETE,0.7088122605363986,200,0.06555951769886786,0.9858456958613054,0.9553878713305841,0.0,1.4994793384941378,9,34,0.0,0.0,0.7088122605363986,0.49333333333333335,7.076781609195401,0.6900901217970884,0.9205088096204553,0.010836885535426003,3.6156135000055656
12,COMPLETE,0.7126436781609194,200,0.04404317289326993,0.9750916604336711,0.9400422361737618,0.0,0.6603073371703071,56,18,0.0,0.1,0.7126436781609194,0.496,7.11503448275862,0.6832140613269568,0.9273928209596036,0.040908345793223395,7.261082400102168
13,COMPLETE,0.735632183908046,700,0.07724498746345058,0.9480841832800468,0.9636608475537944,0.1,0.8675537919126363,74,27,0.0,0.0,0.735632183908046,0.512,7.344551724137932,0.7072558031059972,0.9350226551955144,0.028155054514749138,11.975389200029895
14,COMPLETE,0.7126436781609197,100,0.04373686669398786,0.9522249188550342,0.9079154664873835,0.0,1.0547721246271267,37,13,0.0,0.0,0.7126436781609197,0.496,7.11503448275862,0.6817453299760983,0.9284587536837381,0.028155054514749187,4.572624999913387
15,COMPLETE,0.7318007662835249,500,0.058388807212862985,0.8821867796119925,0.8620813499975326,0.0,0.7486426676485733,41,35,1.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.6932271381703895,0.9336828140623917,0.021673771070852006,12.566709899925627
16,COMPLETE,0.7241379310344828,500,0.014897219379454775,0.9506240402772693,0.9805311839303165,5.0,0.676135256135752,45,17,0.0,0.0,0.7241379310344828,0.504,7.229793103448276,0.6783148965803699,0.9279076367644487,0.018770036343166093,12.62599429988768
17,COMPLETE,0.6130268199233716,100,0.020213841928925554,0.9937571895661856,0.9663266255722176,10.0,0.7539366714355502,21,36,0.0,0.0,0.6130268199233716,0.4266666666666667,6.120459770114942,0.5151149015526882,0.8911197573765515,0.010836885535426001,7.0760266000870615
18,COMPLETE,0.7203065134099617,600,0.01378760492619067,0.9982651629805364,0.9016909450832071,0.0,0.9314273900556731,105,28,0.0,0.0,0.7203065134099617,0.5013333333333333,7.191540229885057,0.6891257298684564,0.9298975978562543,0.03553110534672679,45.96298230008688
19,COMPLETE,0.7394636015325671,300,0.07277450748167459,0.8896393213884096,0.8967305317644232,0.0,0.8180027291949079,15,10,0.0,0.0,0.7394636015325671,0.5146666666666667,7.382804597701149,0.7095334730130007,0.9284422531771725,0.010836885535426001,4.859436200000346
20,COMPLETE,0.7509578544061303,500,0.06207504566125316,0.9728744215935367,0.9643601140674807,0.0,1.2614357161179925,74,17,10.0,0.0,0.7509578544061303,0.5226666666666667,7.497563218390805,0.6985570333397787,0.9329072902538108,0.014335852056605121,10.317643399932422
21,COMPLETE,0.731800766283525,600,0.030433170217985514,0.9766137977050471,0.9950737543710695,0.0,1.0454220578096511,43,19,0.0,0.1,0.731800766283525,0.5093333333333333,7.306298850574712,0.6965081251265959,0.9294256833684794,0.04334754214170406,8.71911209996324
22,COMPLETE,0.7394636015325671,800,0.07232877259869848,0.9051766325014552,0.9800058303418706,0.0,1.645634067377825,58,10,10.0,0.0,0.7394636015325671,0.5146666666666667,7.38280459770115,0.6873489489688827,0.9309602304790757,0.014335852056605121,17.358406499843113
23,COMPLETE,0.7318007662835249,200,0.047592858817235704,0.9930037658104381,0.9716586370702327,0.0,0.9101878455855821,17,18,20.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.687886610286604,0.9284290527719201,0.010836885535426001,3.1978758999612182
24,COMPLETE,0.7318007662835249,500,0.029998188600063258,0.927081948218053,0.9066101707426717,0.0,1.1037804126541233,60,19,0.0,0.0,0.7318007662835249,0.5093333333333333,7.306298850574713,0.7021144981790132,0.9368377109177252,0.037929099373991054,20.358826199895702
25,COMPLETE,0.7164750957854406,700,0.029151185430443486,0.9665047696876925,0.9912886420213297,0.0,1.3236829348890358,24,28,10.0,0.0,0.7164750957854406,0.49866666666666665,7.153287356321839,0.7036525191190122,0.9341118272330963,0.005418442767713001,12.11240900005214
26,COMPLETE,0.735632183908046,500,0.0966795511347316,0.9122673690086386,0.903286466263804,0.0,1.178590029926325,69,40,20.0,0.0,0.735632183908046,0.512,7.34455172413793,0.6950815713468784,0.9294751848881759,0.016255328303139003,7.185119100031443
27,COMPLETE,0.7432950191570882,400,0.09271924490157839,0.8536506636206651,0.9866147388537009,0.0,1.1171542402287458,57,21,0.0,0.0,0.7432950191570882,0.5173333333333333,7.421057471264368,0.704953129640875,0.9361248890340933,0.01953647323215624,10.897472300101072
28,COMPLETE,0.7279693486590038,200,0.11499913936484997,0.9426420805667025,0.9846228336719184,0.0,0.8115979693578496,34,39,10.0,0.0,0.7279693486590038,0.5066666666666667,7.268045977011494,0.6890035675690217,0.9292507779988846,0.014335852056605121,2.968671099981293
29,COMPLETE,0.735632183908046,1000,0.03402154546501873,0.8499484574404027,0.9827836182875133,0.0,0.982555847581179,49,19,0.0,0.0,0.735632183908046,0.512,7.344551724137932,0.7116782016694571,0.9368443111203514,0.028155054514749138,33.54450509999879
30,COMPLETE,0.6704980842911877,400,0.05326268714442166,0.9519126658011077,0.9813707079482901,0.0,1.3453528819273899,54,19,0.0,5.0,0.6704980842911877,0.4666666666666666,6.694252873563218,0.6043611315214789,0.912690869609697,0.019536473232156275,2.0895998999476433
