trial,state,value,n_estimators,learning_rate,subsample,colsample_bytree,reg_alpha,weight_multiplier,max_depth,min_child_weight,reg_lambda,gamma,mean_recall_at_10,mean_precision_at_10,mean_lift_at_10,mean_average_precision,mean_roc_auc,std_recall_at_10,seconds
0,COMPLETE,0.7394636015325671,400,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7394636015325671,0.5146666666666667,7.382804597701149,0.6970425243871619,0.9324964276403286,0.028671704113210243,14.604505200171843
1,COMPLETE,0.7394636015325671,600,0.05,0.8,0.8,0.0,1.0,5,5.0,1.0,0.0,0.7394636015325671,0.5146666666666667,7.382804597701149,0.7031758244193154,0.932899040000528,0.028671704113210243,17.96850719989743
2,COMPLETE,0.7547892720306514,600,0.09623578332333493,0.9334388588508739,0.8312634834544749,0.0,1.5014118118360982,3,10.994364517104824,2.286308738842562,0.5,0.7547892720306514,0.5253333333333333,7.535816091954023,0.716049696970876,0.9365621524580804,0.023618444455819846,10.321885699988343
3,COMPLETE,0.7203065134099617,1100,0.050142765986408704,0.7031217855389719,0.7421470716300419,0.1,1.1221664170774934,4,18.70206998250112,0.1812302237394169,5.0,0.7203065134099617,0.5013333333333333,7.191540229885057,0.6681372762650861,0.9295593374716605,0.014335852056605121,13.570598099962808
4,COMPLETE,0.7241379310344828,1300,0.03895462349442042,0.6776629025389387,0.684073461245029,5.0,0.8092457163575186,5,1.0902773376845762,8.800764453868174,0.0,0.7241379310344828,0.504,7.229793103448276,0.6558315759222931,0.929427333419136,0.037540072686332235,775.1707810000516
5,COMPLETE,0.7432950191570882,800,0.043618745835579203,0.9121237184637817,0.7314428467369339,0.01,0.6712634574749309,5,4.094892852822083,0.2791680646587766,0.01,0.7432950191570882,0.5173333333333333,7.421057471264368,0.7108218045948052,0.9344137865032457,0.03016861254410652,24.684977400000207
6,COMPLETE,0.6743295019157088,300,0.19816745645778872,0.6298768895122141,0.6092442407356591,1.0,0.5469178098943792,2,5.445771404538943,15.911511041035862,0.5,0.6743295019157088,0.4693333333333333,6.732505747126436,0.6282061067807069,0.9154250035476089,0.03295910064001007,4.596097499947064
7,COMPLETE,0.735632183908046,1000,0.020281830816275027,0.792126745834326,0.7114604032824411,0.01,1.7371932081562553,4,1.0663891018049032,1.085411504705576,0.01,0.735632183908046,0.512,7.344551724137932,0.6837463426174173,0.9333742545896159,0.009385018171583047,30.57193009997718
8,COMPLETE,0.6973180076628352,200,0.027252373417089925,0.7577423143766215,0.8517204035958339,0.01,0.7905822099908347,8,1.1764916210972964,1.2921973682664434,0.5,0.6973180076628352,0.48533333333333334,6.962022988505747,0.6284955563241083,0.9278663854980348,0.005418442767713001,19.18068309989758
9,COMPLETE,0.7088122605363986,200,0.09262422217510835,0.7656015469853243,0.7959812122394125,0.1,0.9757158746229462,8,2.318377474298859,5.598591323111834,0.01,0.7088122605363986,0.49333333333333335,7.076781609195403,0.6556291854948404,0.9281336937043968,0.014335852056605121,13.090661100111902
10,COMPLETE,0.7509578544061303,1000,0.05422126709469854,0.7677535457670688,0.6883324617642197,0.0,1.9323048701932553,4,2.7739264182756993,1.0665924215841196,0.5,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.6866961830541158,0.9321598173063913,0.014335852056605121,16.809435600065626
11,COMPLETE,0.7318007662835249,1000,0.06994927801981998,0.8044145073841044,0.9451067133359249,0.0,1.5446288606556773,2,16.32424756321902,6.854267175572414,0.5,0.7318007662835249,0.5093333333333333,7.306298850574713,0.6696108830129247,0.926318637982186,0.023618444455819804,11.547452099970542
12,COMPLETE,0.735632183908046,300,0.06969590566457529,0.9369099845942798,0.9621044545297973,0.0,1.900031899778446,6,19.745166314709103,2.376099105514246,0.5,0.735632183908046,0.512,7.344551724137932,0.6978682904545189,0.9306582712089261,0.009385018171583047,10.003843299928121
13,COMPLETE,0.6934865900383141,400,0.07885283102318479,0.899732024342273,0.6554884659992339,0.0,1.8640582117765507,2,3.257757075718296,0.6396729025893982,0.5,0.6934865900383141,0.48266666666666663,6.923770114942529,0.6260719184976309,0.9175997703129486,0.030168612544106573,5.074591599870473
14,COMPLETE,0.6666666666666666,200,0.11448713832700999,0.6962190357520002,0.8550909835695205,0.0,1.7500317914543273,2,15.960047288402421,2.1314687576329803,0.5,0.6666666666666666,0.46399999999999997,6.656,0.5892446589936385,0.9159596199603328,0.009385018171583047,2.8175312001258135
15,COMPLETE,0.735632183908046,500,0.04465042144630544,0.8996134163164086,0.859603361352239,0.0,1.5003162310402307,3,2.877975290940449,0.8412181158052593,0.5,0.735632183908046,0.512,7.34455172413793,0.679868499308633,0.9256124163011804,0.016255328303139003,10.459812199929729
16,COMPLETE,0.7509578544061303,700,0.12045862192269695,0.8970196110577815,0.9506384988427742,0.1,1.3862286398318933,4,13.331956041599753,0.8050661365488478,0.5,0.7509578544061303,0.5226666666666667,7.4975632183908045,0.714995075916276,0.9329650420267902,0.027092213838565006,10.170618899981491
17,COMPLETE,0.7547892720306514,1400,0.08222005612035292,0.9705832060012018,0.6724869956131343,0.0,1.3703453899392306,4,1.3471136818906555,0.580343052852386,0.5,0.7547892720306514,0.5253333333333333,7.535816091954023,0.6955943012777247,0.931968411430231,0.010836885535426003,14.992909300024621
18,COMPLETE,0.7432950191570882,900,0.06784097969578465,0.9537253870762002,0.8220288708900488,0.0,1.2987620858804294,2,9.715260509673694,1.3805874632053414,0.5,0.7432950191570882,0.5173333333333333,7.421057471264368,0.6886391405654954,0.9274175717194518,0.02867170411321029,9.826718099997379
19,COMPLETE,0.7394636015325671,500,0.07898460511299837,0.9135057382533567,0.8225240475568211,0.0,1.0987879880203657,3,1.9817476785154788,0.12326000176807951,0.5,0.7394636015325671,0.5146666666666667,7.382804597701149,0.7007473235299192,0.9320575141656849,0.028671704113210243,67.34569059987552
20,COMPLETE,0.735632183908046,600,0.19180223717704625,0.9536247896021838,0.693552746375333,0.0,1.1559616423839223,4,1.4440436317212075,0.7696575364537808,0.5,0.735632183908046,0.512,7.344551724137932,0.6901363273887698,0.9323347226759862,0.009385018171583047,11.361534699914046
21,COMPLETE,0.7164750957854406,1100,0.12048233730800034,0.7613867565977114,0.8438916476246389,0.0,1.608093971852994,2,14.094496031333044,1.5661664354367495,0.5,0.7164750957854406,0.49866666666666665,7.153287356321839,0.6798032733223623,0.9291600252127742,0.021673771070852003,13.969807500136085
22,COMPLETE,0.7471264367816092,1600,0.0743751870797741,0.9185884204975364,0.6862571229905012,0.0,1.2063363076356914,3,1.579170759405463,1.1315057004653428,0.5,0.7471264367816092,0.52,7.459310344827586,0.7037879283041099,0.9296451401058011,0.016255328303139003,20.238273300114088
23,COMPLETE,0.735632183908046,1500,0.03469940489684529,0.9282131952905195,0.6440790768921666,0.01,1.5217051925522067,5,1.0540900516149379,0.7900865085953939,0.5,0.735632183908046,0.512,7.344551724137932,0.6904100457429418,0.9339385719141577,0.018770036343166093,27.818477099994197
24,COMPLETE,0.7432950191570881,1200,0.12100051696925009,0.899115779742182,0.653838279257118,0.0,1.615984164391907,5,1.046592025940858,1.2021846620914447,0.5,0.7432950191570881,0.5173333333333333,7.421057471264368,0.6760392089564716,0.9309948815428634,0.01953647323215624,12.688525199773721
25,COMPLETE,0.735632183908046,1300,0.07220393708975603,0.7557875407758642,0.687055035217881,0.1,1.7070679642895017,4,4.856150426514954,0.7301239637852025,0.5,0.735632183908046,0.512,7.34455172413793,0.6940552954113627,0.9327868365558821,0.028155054514749138,11.384689199971035
26,COMPLETE,0.735632183908046,1500,0.09583338153127396,0.9733308038965065,0.6313112380904924,0.0,0.7675455817560937,5,1.3942014866777637,0.37738133455898504,0.5,0.735632183908046,0.512,7.34455172413793,0.687039779216185,0.9300312519594351,0.016255328303139003,9.229811700060964
27,COMPLETE,0.7547892720306514,1300,0.1111463582153294,0.9126774516860248,0.9121275231444389,0.0,1.6059615066888127,3,10.38800252664848,3.970198645590379,0.5,0.7547892720306514,0.5253333333333333,7.535816091954023,0.7149187277254533,0.9346282930885979,0.023618444455819846,14.957149699912407
28,COMPLETE,0.7471264367816093,1100,0.09712851708225674,0.8900825576048392,0.7598290149204331,0.0,1.3653916085412878,3,11.172241394517117,0.6924058757397896,0.5,0.7471264367816093,0.52,7.459310344827586,0.7144279811292286,0.9355919226720261,0.03383816423880401,11.353441799874417
