COMPANY_ID,RISK_RANK,RISK_SCORE,RISK_PERCENTILE,RISK_GROUP,RECOMMENDED_ACTION,ANALYST_REVIEW,ACTUAL_BANKRUPT,ACTUAL_STATUS
ESIK-05585,1,0.9988789,100.0,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05594,2,0.9988707,99.91452991452991,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05817,3,0.99843234,99.82905982905983,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05810,4,0.99806684,99.74358974358975,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05546,5,0.9980609,99.65811965811966,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05740,6,0.9976369,99.57264957264957,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05709,7,0.9969041,99.48717948717949,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05567,8,0.99562305,99.40170940170941,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05673,9,0.9955375,99.31623931623932,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05691,10,0.99487644,99.23076923076923,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05495,11,0.99472344,99.14529914529915,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05758,12,0.9944406,99.05982905982907,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05797,13,0.9944114,98.97435897435898,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05470,14,0.9943403,98.88888888888889,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05839,15,0.9937767,98.80341880341881,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05733,16,0.99239385,98.71794871794873,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05765,17,0.99175745,98.63247863247864,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-02536,18,0.988846,98.54700854700855,Kritik - İlk %5,Acil analist incelemesi,1,0,İflas Etmedi
ESIK-05556,19,0.9884643,98.46153846153847,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05686,20,0.98812217,98.37606837606837,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05756,21,0.98765,98.29059829059828,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05792,22,0.9851901,98.2051282051282,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05649,23,0.98275536,98.11965811965811,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05492,24,0.98228204,98.03418803418803,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05667,25,0.97952795,97.94871794871794,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05496,26,0.9795085,97.86324786324786,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05543,27,0.9792594,97.77777777777777,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05730,28,0.97918427,97.6923076923077,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05722,29,0.9785488,97.6068376068376,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05721,30,0.97786283,97.52136752136752,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05577,31,0.9777999,97.43589743589743,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-01294,32,0.9706197,97.35042735042735,Kritik - İlk %5,Acil analist incelemesi,1,0,İflas Etmedi
ESIK-05702,33,0.9626187,97.26495726495726,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05754,34,0.960893,97.17948717948718,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05714,35,0.9578958,97.09401709401709,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05786,36,0.9511538,97.00854700854701,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05651,37,0.9509156,96.92307692307692,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05674,38,0.9494329,96.83760683760684,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05766,39,0.93473375,96.75213675213675,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-05647,40,0.9321048,96.66666666666667,Kritik - İlk %5,Acil analist incelemesi,1,1,İflas Etti
ESIK-02513,41,0.92371637,96.58119658119658,Kritik - İlk %5,Acil analist incelemesi,1,0,İflas Etmedi
ESIK-03127,42,0.9101442,96.4957264957265,Kritik - İlk %5,Acil analist incelemesi,1,0,İflas Etmedi
