VARIABLE,DESCRIPTION,IMPORTANCE,NON_BANKRUPT_MEDIAN,NON_BANKRUPT_MISSING_RATIO,BANKRUPT_MEDIAN,BANKRUPT_MISSING_RATIO,MEDIAN_DIFFERENCE
Attr39,Satış kârı / satışlar,0.08761803517733698,0.0433925,0.0,-0.055253,0.0,-0.0986455
Attr35,Satış kârı / toplam varlıklar,0.07195189225422774,0.065923,0.00022967386311437759,-0.0673395,0.0,-0.1332625
Attr26,Net kâr ve amortisman / toplam yükümlülükler,0.032464397901675,0.23737999999999998,0.0022967386311437757,-0.048752,0.009202453987730062,-0.286132
Attr27,Faaliyet kârı / finansman giderleri,0.029996405988744215,1.02115,0.050068902158934316,-1.1046,0.3006134969325153,-2.12575
Attr38,Devamlı sermaye / toplam varlıklar,0.02962068436551683,0.63215,0.00022967386311437759,0.347215,0.0,-0.284935
Attr25,(Özkaynak - sermaye) / toplam varlıklar,0.029002202324684086,0.442,0.00022967386311437759,0.06868199999999999,0.0,-0.37331800000000004
Attr16,Brüt kâr ve amortisman / toplam yükümlülükler,0.02385773075375047,0.263895,0.0022967386311437757,-0.046921,0.009202453987730062,-0.310816
Attr21,Cari yıl satışları / önceki yıl satışları,0.02232363377709267,1.12535,0.0009186954524575103,0.91121,0.21779141104294478,-0.2141400000000001
Attr34,Faaliyet giderleri / toplam yükümlülükler,0.022017588124596452,1.7572999999999999,0.0022967386311437757,1.6758,0.009202453987730062,-0.0814999999999999
Attr43,Alacak ve stok devir süresi,0.020890456782528738,106.50999999999999,0.0,107.265,0.0,0.7550000000000097
Attr41,Borçların faaliyet kârı ve amortismanla karşılanma yükü,0.01969251139348432,0.095651,0.01584749655489205,-0.0287805,0.0,-0.1244315
Attr62,Kısa vadeli yükümlülüklerin satışlara göre devir süresi,0.018200258742286347,71.91300000000001,0.0,127.23500000000001,0.0,55.322
Attr56,Brüt kâr marjı,0.018146897681268183,0.056695499999999996,0.0,-0.0176855,0.0,-0.074381
Attr22,Faaliyet kârı / toplam varlıklar,0.01596097731386752,0.065688,0.00022967386311437759,-0.0477885,0.0,-0.1134765
Attr6,Dağıtılmamış kârlar / toplam varlıklar,0.015871547990298537,0.0,0.00022967386311437759,-0.011871,0.0,-0.011871
Attr46,Asit-test oranı,0.015402331820251962,1.1195,0.002756086357372531,0.47245,0.009202453987730062,-0.6470499999999999
Attr9,Satışlar / toplam varlıklar,0.015358410645342428,1.1448,0.00022967386311437759,1.11145,0.0,-0.03334999999999999
Attr13,Brüt kâr ve amortisman / satışlar,0.014930225756105633,0.0721735,0.0,-0.0319455,0.0,-0.104119
Attr3,Çalışma sermayesi / toplam varlıklar,0.014872020886124269,0.23073,0.00022967386311437759,-0.0134545,0.0,-0.2441845
Attr51,Kısa vadeli yükümlülükler / toplam varlıklar,0.01459718199208583,0.31842,0.00022967386311437759,0.555025,0.0,0.236605
Attr23,Net kâr / satışlar,0.014521649864700057,0.033599000000000004,0.0,-0.050139,0.0,-0.083738
Attr17,Toplam varlıklar / toplam yükümlülükler,0.014506674196919199,2.27595,0.0022967386311437757,1.3703,0.009202453987730062,-0.9056499999999998
Attr42,Faaliyet kârı / satışlar,0.014341059888805591,0.043766,0.0,-0.036451,0.0,-0.080217
Attr20,Stokların satışlara göre devir süresi,0.013818443542190677,38.626000000000005,0.0,40.1785,0.0,1.5524999999999949
Attr55,Çalışma sermayesi,0.013746565924778294,2034.75,0.0,-36.870000000000005,0.0,-2071.62
Attr48,Kaynakta EBITDA olarak adlandırılan tutar / toplam varlıklar (tanım notu),0.013240361345429193,0.023336,0.00022967386311437759,-0.08143,0.0,-0.104766
Attr29,Toplam varlıkların logaritması,0.013146103114058985,4.1887,0.00022967386311437759,3.7398,0.0,-0.4489000000000001
Attr24,Son üç yıllık brüt kâr / toplam varlıklar,0.01308693059987213,0.177845,0.024345429490124023,-0.041571,0.0,-0.219416
Attr58,Toplam maliyetler / toplam satışlar,0.012808635567579038,0.945975,0.0,1.00815,0.0,0.06217500000000009
Attr30,Nakit sonrası yükümlülükler / satışlar,0.012605948099804198,0.21576,0.0,0.44123999999999997,0.0,0.22547999999999996
Attr8,Özkaynak defter değeri / toplam yükümlülükler,0.012481383698952839,1.2163,0.0022967386311437757,0.3483,0.009202453987730062,-0.8679999999999999
Attr5,Nakit temelli kısa vadeli finansman yeterliliği,0.012479372973409376,3.7708,0.0018373909049150207,-57.506,0.0,-61.2768
Attr61,Satışlar / alacaklar,0.012409435301021092,6.1371,0.0018373909049150207,7.464,0.009202453987730062,1.3269000000000002
