fold,arm,features,reviewed,captured,positives,recall_at_10,precision_at_10,average_precision,seconds
0,raw_64,64,94,49,65,0.7538461538461538,0.5212765957446809,0.7354099134006551,7.103243199991994
0,engineered_68,68,94,48,65,0.7384615384615385,0.5106382978723404,0.7444414735360959,12.382883500002208
1,raw_64,64,94,51,65,0.7846153846153846,0.5425531914893617,0.726590426666996,7.231630599999335
1,engineered_68,68,94,50,65,0.7692307692307693,0.5319148936170213,0.7010769486560999,9.111290900007589
2,raw_64,64,94,49,65,0.7538461538461538,0.5212765957446809,0.7449633838395695,10.694649599987315
2,engineered_68,68,94,49,65,0.7538461538461538,0.5212765957446809,0.746251191474487,9.665428899999824
3,raw_64,64,94,52,65,0.8,0.5531914893617021,0.7666562947676178,7.438310099998489
3,engineered_68,68,94,50,65,0.7692307692307693,0.5319148936170213,0.7661199816333342,7.890029200003482
4,raw_64,64,94,52,66,0.7878787878787878,0.5531914893617021,0.7792519249382824,7.323358699999517
4,engineered_68,68,94,51,66,0.7727272727272727,0.5425531914893617,0.7854379833343397,7.599391199997626
