fold,component,explained_variance_ratio
0,1,0.21521672172023382
0,2,0.1831530111448369
0,3,0.15411014423905342
0,4,0.057029699837440676
0,5,0.049322395755181575
0,6,0.034736257506757455
0,7,0.03144364542267619
0,8,0.031222786569183272
0,9,0.028049866694720177
0,10,0.023674774095433324
0,11,0.020066768732376096
0,12,0.01690592367014663
0,13,0.016020053482066376
0,14,0.015635984286956523
0,15,0.015632850339851016
0,16,0.01559646759335564
0,17,0.015443857726519364
0,18,0.01440256000950124
0,19,0.014023044929290782
0,20,0.012707396238323107
0,21,0.009784179123026659
0,22,0.008234295407773718
0,23,0.004100227537110552
0,24,0.002896164853609565
0,25,0.0023105405240638464
0,26,0.001861529811219205
0,27,0.0016482306941758929
0,28,0.001341615373307527
0,29,0.0008613407375883897
0,30,0.00043684310452285664
0,31,0.000409936125751715
0,32,0.00038823866625063827
0,33,0.00029838287142315876
0,34,0.00022364997356089726
0,35,0.00017649033776227113
0,36,0.00014990390553611048
0,37,0.00011303305908164912
0,38,8.034569507365699e-05
0,39,5.73154673046972e-05
0,40,5.151851221753816e-05
0,41,4.5478258774012723e-05
0,42,2.4191185664308898e-05
0,43,2.2221597103410528e-05
0,44,1.6591925409571185e-05
0,45,1.3479720037415003e-05
0,46,1.0582262162389877e-05
0,47,9.940573116294853e-06
0,48,8.765454239914717e-06
0,49,7.716754672628987e-06
0,50,6.468860828084333e-06
0,51,5.2153399746058134e-06
0,52,3.4234669071558166e-06
0,53,2.5128088171519675e-06
0,54,1.5944166284968946e-06
0,55,1.3258094116175664e-06
0,56,1.2074810058630566e-06
0,57,4.971973288301816e-07
0,58,3.4378820706916997e-07
0,59,3.064240901582e-07
0,60,1.363089635910355e-07
0,61,8.592155069835875e-09
0,62,2.382352705560586e-13
0,63,1.9606275067969162e-33
0,64,1.9606275067969162e-33
1,1,0.18499257823014517
1,2,0.1765309405885158
1,3,0.13530183853120636
1,4,0.0699567175653792
1,5,0.054611313991172604
1,6,0.04483174561788306
1,7,0.03588561537583036
1,8,0.03266251999252039
1,9,0.031245219174875282
1,10,0.021900611793535467
1,11,0.020363204988160303
1,12,0.019897974797125323
1,13,0.017533905481357945
1,14,0.01704095208771609
1,15,0.016264567695078103
1,16,0.015639429293874192
1,17,0.015613147088032487
1,18,0.01508776799141234
1,19,0.013803082054254703
1,20,0.01226559164961528
1,21,0.010766062937780034
1,22,0.010497404264420305
1,23,0.008365130871322056
1,24,0.005381579600224311
1,25,0.003339295913072098
1,26,0.001843269876062035
1,27,0.0014337160746012447
1,28,0.001288890573350162
1,29,0.0010533999457022394
1,30,0.0008818791793023893
1,31,0.0008133350643758152
1,32,0.0006981592087244548
1,33,0.0005508803725032092
1,34,0.0003003741317573881
1,35,0.00026143277417960755
